ID,PCA Request ID,NORMALIZED_NAME,Name,Description,type,Domains,Superclass,Intended UoM,Scalar Quantity,Provenance,Scope,Range,Regularity,Other
DRG000157,,VOLTAGE_DEVIATION_MIN,Minimum voltage deviation ,"Minimum voltage deviation (Voltage drop or voltage dip ) refers to a momentary  percentage drop  in voltage from its rated value, that occurs due to transient conditions. These deviations can result from load changes, switching operations, or other disturbances in the power system.",,,,,,,,,,
DRG000158,,FREQUENCY_DEVIATION_MAX,Maximum frequency deviation ,Maximum Frequency deviation is the percentage value of frequency rise from its the nominal (rated) frequency ,,,,,,,,,,
DRG000159,,FREQUENCY_DEVIATION_MIN,Minimum frequency deviation ,Minimum Frequency deviation is the  percantage value of frequency  dip from the nominal (rated) frequency ,,,,,,,,,,
DRG000160,,LOAD_CHANGE_100PCT_TO_50PCT,load changes from 100% to 50%,When electrical load connected to electrical machine or equipment is reduced from 100% (full load) to 50%  of its rated value,,,,,,,,,,
DRG000161,,LOAD_CHANGE_50PCT_TO_0PCT,load changes from 50% to 0%,When electrical load connected to electrical machine or equipment is reduced from 50% to 0% (no load) of its rated value,When load attached to machine or equipment is reduced from 50% to 0% (no load) of its rated value,,,,,,,,,
DRG000162,,LOAD_CHANGE_0PCT_TO_50PCT,load changes from 0% to 50%,When electrical load connected to electrical machine or equipment is increased from 0% (no load) to 50% of its rated value,When load attached to machine or equipment is ncreaded from 0% (no load) to 50% of its rated value,,,,,,,,,
DRG000163,,LOAD_CHANGE_50PCT_TO_100PCT,load changes from 50% to 100%,When electrical load connected to electrical machine or equipment is increased from 50% to 100% (full load) of its rated value,,,,,,,,,,
DRG000164,,RECOVERY_TIME_TRANSIENT_CONDITION_VOLTAGE,Recovery time during  voltage transient condition voltage,Recovery time during maximum and minimum voltage deviation,,,,,,,,,,
DRG000165,,RECOVERY_TIME_TRANSIENT_CONDITION_FREQUENCY,Recovery time during  frequency transient condition voltage,Recovery time during maximum and minimumfrequency deviation,,,,,,,,,,
DRG000166,,FIELD_CURRENT_NO_LOAD,Field current no load,"value of field current at no load . Field current refers to the direct current (DC) supplied to the rotor winding. It controls the generated voltage, allowing the power system’s voltage to be regulated.",,,,,,,,,,
DRG000167,,FIELD_CURRENT_RATED_LOAD,Field current rated load,"value of field current at rated or 1/1 load . Field current refers to the direct current (DC) supplied to the rotor winding. It controls the generated voltage, allowing the power system’s voltage to be regulated.",,,,,,,,,,
DRG000169,,BACK_PULLOUT_LIFTING_DEVICE,BACK PULLOUT LIFTING DEVICE,"A specialized tool for removing the rotating assembly of a back pullout pump without disturbing the piping, used in pump maintenance and repair.",,,,,,,,,,
DRG000170,,API_682_DATASHEET,API 682 DATASHEET,"A standardized document detailing specifications for mechanical seals in pumps, including design, materials, and operating conditions, as per the API 682 standard",,,,,,,,,,
DRG000171,,PACKING_COOLING_INJECTION,PACKING COOLING INJECTION,"Injecting a cooling fluid into the packing gland of a pump to reduce heat and ensure proper lubrication, and improving seal performance.",,,,,,,,,,
DRG000172,,DESIGN_PRESS_AT_TEMP,DESIGN PRESSURE AT TEMPERATURE,The maximum pressure a system or component is designed to withstand safely at a given temperature.,,,,,,,,,,
DRG000173,,EXPORT_BOXING,EXPORT BOXING,"Securing and protecting goods, ensuring they withstand handling, transport, and environmental conditions during international shipment.",,,,,,,,,,
DRG000174,,OUTDOOR_STORAGE,OUTDOOR STORAGE,Storage in outdoor environment.,,,,,,,,,,
DRG000175,,PROPOSAL_CURVE_BEP_FLOW_WITH_RATED_IMPELLER_DIAMETER,PROPOSAL CURVE BEP FLOW WITH RATED IMPELLER DIAMETER,"The volumetric flow rate at the best efficiency point of the proposed pump curve, when equipped with the rated impeller diameter.",,,,,,,,,,
DRG000176,,START_OF_PREFERRED_OPERATING_REGION_WITH_RATED_IMPELLER,START OF PREFERRED OPERATING REGION WITH RATED IMPELLER,"The minimum volumetric flow rate at which a pump, equipped with the rated impeller diameter, begins to operate efficiently and reliably within its optimal performance range.",,,,,,,,,,
DRG000177,,END_OF_PREFERRED_OPERATING_REGION_WITH_RATED_IMPELLER,END OF PREFERRED OPERATING REGION WITH RATED IMPELLER,"The maximum volumetric flow rate at which a pump, equipped with the rated impeller diameter, maintains efficient and reliable operation within its optimal performance range.",,,,,,,,,,
DRG000178,,START_OF_ALLOWABLE_OPERATING_REGION_WITH_RATED_IMPELLER,START OF ALLOWABLE OPERATING REGION WITH RATED IMPELLER,"The minimum volumetric flow rate at which a pump, equipped with the rated impeller diameter, can operate without causing damage or significant efficiency loss, but not necessarily within its most efficient performance range.",,,,,,,,,,
DRG000179,,END_OF_ALLOWABLE_OPERATING_REGION_WITH_RATED_IMPELLER,END OF ALLOWABLE OPERATING REGION WITH RATED IMPELLER,"The maximum volumetric flow rate at which a pump, equipped with the rated impeller diameter, can operate without causing damage or significant efficiency loss, but not necessarily within its most efficient performance range.",,,,,,,,,,
DRG000180,,PRESERVATION_AND_PACKING_SPECIFICATION,PRESERVATION AND PACKING SPECIFICATION,Guidelines for protecting and packaging items to prevent damage during storage and transport.,,,,,,,,,,
DRG000181,,PRESERVATION_AND_PACKING_REQUIRED_SUITABLE_FOR,PRESERVATION AND PACKING REQUIRED SUITABLE FOR,To specify what the preservation and packing specification for the proposed pump is to be suitable for: (domestic delivery or export),,,,,,,,,,
DRG000182,,MINIMUM_SUBMERGENCE_PERFORMANCE_TEST,MINIMUM SUBMERGENCE PERFORMANCE TEST,"A test to determine the lowest liquid level at which a vertical submerged pump can operate without air entrainment or cavitation, ensuring reliable performance.",,,,,,,,,,
DRG000183,,VIBRATION_TEST_MEASUREMENT_LOCATIONS,VIBRATION TEST MEASUREMENT LOCATIONS,Specification of the required vibration test measurement locations for the tested equipment.,,,,,,,,,,
DRG000184,,RETEST_AFTER_FINAL_HEAD_ADJUSTMENT,RETEST AFTER FINAL HEAD ADJUSTMENT,A follow-up test conducted after adjusting the pump's head (pressure) to verify that it meets the specified performance criteria and operates correctly at the new settings.,,,,,,,,,,
DRG000185,,POST_TEST_DISASSEMBLY,POST TEST DISASSEMBLY,"A procedure mandating that the pump or equipment be disassembled after testing to inspect internal components for wear, damage, or compliance with specifications.",,,,,,,,,,
DRG000186,,POST_TEST_HYDRODYNAMIC_BEARINGS_INSPECTION,POST TEST HYDRODYNAMIC BEARINGS INSPECTION,"The examination of hydrodynamic bearings after performance testing to check for signs of wear, damage, or any abnormalities, ensuring they meet operational standards and specifications.",,,,,,,,,,
DRG000187,,COUPLING_GUARD_IGNITION_HAZARD_ASSESSMENT,COUPLING GUARD IGNITION HAZARD ASSESSMENT,"An evaluation process to identify and mitigate potential ignition risks associated with the coupling guard in a mechanical system, ensuring it does not pose a fire or explosion hazard.",,,,,,,,,,
DRG000188,,110_PERCENT_SITE_NPSHA_PERFORMANCE_TEST,110 PERCENT SITE NPSHA PERFORMANCE TEST,"A performance test under the condition where the NPSHA is restricted to 110% of the NPSHA expected at the actual installation site, ensuring the pump performs reliably under that condition.",,,,,,,,,,
NOT FINAL,,ROTATION_DIRECTION_FROM_COUPLING_END,ROTATION DIRECTION,Rotation direction seen from the coupling side of an equipment that rotates or has a main rotary part. CW/CCW.,,,,,,,,,,
NOT FINAL,,REQUIRED_NUM,NUMBER REQUIRED,The number of units required,,,,,,,,,,
NOT FINAL,,SEAL_PRIMARY_PLAN,SEAL PRIMARY PLAN,Is an AUXILIARY FLSUH SYSTEM that is an assembly of functional units necessary for running a pump unit,,,https://staging3.data.posccaesar.org/rdl/RDS14308963,,,,,,,
PCA FOUND,,BEARINGS_TYPE_RADIAL,RADIAL BEARINGS TYPE,The type of radial bearings,,,,,,,,,,
PCA FOUND,,BEARINGS_TYPE_THRUST,THRUST BEARINGS TYPE,The type of thrust bearings,,,,,,,,,,
PCA FOUND (RDS2224730),,IS_REQUIRED,IS A REQUIREMENT,Specifies whether the parent object is required or not (Yes/No).,,,,,,,,,,
PCA FOUND (RDS4242029),,MECHANICAL_SEAL_API_682_CLASS_CODE,MECHANICAL SEAL API 682 CLASS CODE,Seal Code Based on API 682,,,,,,,,,,
PCA_100011676,,,Design Temperature max,Maximum Design Temperature,IMF-PROP,http://rds.posccaesar.org/ontology/lis14/rdl/Artefact,Datasheet Quantity Datum,Celcius,Temperature,,Design,Maximum,,
REPLACED,,MOUNTING_PLATE_DUTY,MOUNTING PLATE DUTY GRADE,The duty grade (standard or heavy-duty) of a mounting plate.,,,,,,,,,,
DRG000189,,AUXCONN_TYPE,AUXILLIARY CONNECTION TYPE,Classification of an auxilliary connection according to its fabricated form,,,,,,,,,,
DRG000190,,CONTROL_FLUID_TYPE,Control fluid type/Supply Medium,"Type of Fluid or medium required to apply fluid power. Can be Pneumatic(air,process gas, etc) or Hydraulic(oil,water, etc.)",,,,,,,,,,
DRG000191,,UPPER_FLUID,Upper Fluid,Pertains to Fluid on top,,,,,,,,,,
DRG000192,,LOWER_FLUID,Lower Fluid,Pertains to Fluid at the bottom,,,,,,,,,,
DRG000193,,COMMISSIONING_AND_STARTUP_SPARES_QUOTATION,COMMISSIONING AND STARTUP SPARES QUOTATION,A detailed cost estimate provided for the spare parts required during the commissioning and initial startup phase of equipment or machinery to ensure smooth operation and address any immediate maintenance needs.,,,,,,,,,,
DRG000194,,MAINTENANCE_SPARES_QUOTATION,MAINTENANCE SPARES QUOTATION,A detailed cost estimate provided for the spare parts required for normal maintenance of equipment or machinery to ensure smooth operation and address any maintenance needs.,,,,,,,,,,
DRG000195,,SURFACE_PREPARATION_SPECIFICATION,SURFACE PREPARATION SPECIFICATION,"Detailed guidelines outlining the required methods and standards for cleaning and treating surfaces before coating or painting, ensuring proper adhesion and long-term protection.",,,,,,,,,,
